Location,J,I,Ld,Lv,Wa,Wp,Dd,Dv,In,Delta
Taseko BC,17.4069,-11.3586,2.30469,2.00347,1.649,1.31715,1.20308,3.24611,0.938409,0.145662
Taseko BC,13.7218,-8.1446,1.3988,0.992295,0.83508,0.723899,0.975138,1.49029,0.588475,0.166572
Taseko BC,10.3108,-12.2065,2.60316,2.2483,1.70908,1.04678,1.44637,3.33082,0.709,0.195045
Taseko BC,12.0754,-10.8303,2.42738,1.76323,1.23651,0.784577,1.50745,2.80939,0.687856,0.160851
Taseko BC,4.66833,-5.20979,1.54111,1.12126,0.809059,0.559734,0.910708,1.89792,0.487325,0.11051
Taseko BC,6.62277,-5.55046,1.64892,1.28702,0.908692,0.633283,1.233,2.05894,0.700748,0.196862
Taseko BC,8.60744,-9.0715,1.72597,1.72839,1.22821,0.586148,1.19175,2.33311,1.16721,0.14749
Taseko BC,19.2917,-13.1771,1.55465,1.36056,1.21713,0.309593,0.714836,2.23667,0.798008,0.175265
Taseko BC,20.0465,-13.99,1.7551,1.19537,0.981636,0.549023,0.902425,1.86102,0.697454,0.194814
Taseko BC,17.8666,-11.3778,1.12056,1.30341,0.975079,0.371879,0.662974,1.693,0.6628,0.150546
Taseko BC,5.49161,-10.4037,0.986043,0.618674,0.479122,0.370559,0.512356,1.00159,0.391949,0.105267
Taseko BC,10.8285,-7.58944,1.34534,1.07626,0.913063,0.534216,0.635411,1.88033,0.756879,0.166421
Taseko BC,14.8383,-21.0304,2.21305,1.89364,1.7873,1.1892,1.90289,3.10632,1.32715,0.244842
Taseko BC,14.4321,-17.8071,1.94802,1.7916,1.38676,0.456765,1.22832,2.44946,0.838556,0.189582
Taseko BC,-8.33163,13.2254,1.19069,0.83384,0.783316,0.643131,0.870571,1.2926,0.552494,0.111674
Taseko BC,20.1895,-18.1699,1.98829,2.01058,1.80424,0.920654,1.26863,2.67918,1.08633,0.152057
Taseko BC,17.7656,-14.2007,1.37761,1.26514,1.15802,0.613644,1.08313,1.63602,1.01045,0.123015
Taseko BC,14.6192,-7.62787,1.28032,1.19739,0.922594,0.408965,0.784547,1.27946,0.652463,0.200996
Taseko BC,14.1916,-4.22845,1.74022,1.35447,1.11774,0.775174,1.19254,2.31353,1.03464,0.187304
Taseko BC,14.297,-10.3485,1.49294,1.66116,1.05984,0.333458,1.32968,1.88976,0.766347,0.178257
Taseko BC,13.4679,-7.84119,1.16812,1.0533,0.864383,0.49823,0.803902,1.48744,0.516373,0.205673
Taseko BC,19.0419,-19.5012,1.01566,0.9444,0.785102,0.517413,0.74345,1.14797,0.419102,0.189595
Taseko BC,15.7506,-15.8593,1.18196,1.15521,0.989967,0.408633,0.768081,1.48378,0.535605,0.182554
Taseko BC,14.0657,-13.1663,2.145,1.77509,1.58972,0.712664,1.21543,2.72709,1.16883,0.223347
Taseko BC,17.3643,-14.7703,1.14093,1.1542,1.11784,0.470835,0.894714,1.51237,0.461363,0.118124
Taseko BC,24.7589,-11.5355,1.55378,1.49067,1.11994,0.684971,1.19571,1.92129,0.961896,0.105929
Taseko BC,11.8731,-9.3441,1.35586,1.28008,1.15028,0.570617,1.17645,1.50908,0.675574,0.146643
Taseko BC,12.9681,-11.4222,1.4087,1.14065,0.955415,0.610199,0.976704,1.75677,0.811467,0.162468
Taseko BC,17.2974,-12.3221,1.35478,1.29235,1.07243,0.555423,1.10555,1.6393,0.670441,0.169661
Taseko BC,12.867,-5.37387,1.1745,1.09506,1.1096,0.662099,0.878888,1.39989,0.814494,0.114142
Taseko BC,14.6499,-14.0362,2.47648,2.01865,1.86454,1.16346,1.90997,2.46767,1.33169,0.234901
Taseko BC,6.67385,-7.08145,1.8323,1.63772,1.23012,0.938851,1.47437,2.29031,1.30924,0.203465
Taseko BC,14.1613,-10.3614,1.33135,1.87,1.02906,0.507952,1.01504,2.22109,0.634541,0.223426
Taseko BC,12.0393,-13.9862,1.43957,1.14313,0.889634,0.500815,1.03996,1.91489,0.709633,0.196432
Taseko BC,9.46232,-8.36589,1.12618,0.752794,0.771448,0.482728,0.892797,1.10066,0.685846,0.198737
Taseko BC,8.49856,-15.3763,1.32008,1.02399,0.826962,0.555723,0.905674,1.55644,0.673364,0.150567
Taseko BC,0,1.39718,1.39098,0.844521,0.745269,0.683181,0.957353,1.24969,0.793708,0.157313
Taseko BC,8.95091,-13.984,2.11054,1.66374,1.27877,0.963442,1.76348,2.34239,1.29099,0.289469
Taseko BC,7.7217,-7.00921,1.8283,1.11555,1.16881,0.840879,1.28531,1.57567,0.806718,0.158515
Taseko BC,-1.85195,1.04299,1.97762,1.41499,1.32227,1.24167,1.34775,1.9883,1.15321,0.213839
Taseko BC,11.2828,-12.0612,0.964871,0.687939,0.66258,0.375548,0.595962,1.06111,0.487038,0.141464
Taseko BC,2.45033,-1.72914,1.47298,1.34038,0.903702,0.56955,1.10338,1.71355,0.967866,0.147851
Taseko BC,8.50292,-7.52544,1.85117,1.3631,1.0179,0.670922,1.25454,2.01943,0.875708,0.150714
Taseko BC,10.3497,-9.1918,1.3933,1.02962,0.780728,0.621045,1.06856,1.59632,0.691969,0.187468
Taseko BC,9.77022,-24.7062,0.940546,0.523495,0.660835,0.470794,0.510235,0.935499,0.398803,0.130962
Taseko BC,6.6712,-5.61254,1.92062,1.30436,1.24006,0.743211,1.22739,2.03928,1.04108,0.16693
Taseko BC,6.36894,-3.40473,2.4607,1.70188,1.53484,1.24776,1.4951,2.75429,1.31815,0.2527
Taseko BC,12.4678,-8.84307,1.35373,1.37688,1.10969,0.60085,1.03656,1.72871,0.634591,0.110863
Taseko BC,11.9084,-11.3629,2.00848,1.3076,1.42001,0.875217,1.19198,2.25593,0.852385,0.197699
Taseko BC,21.6718,-17.4065,1.79845,1.40526,1.55891,0.902308,1.13317,2.51671,0.689238,0.184989
Taseko BC,15.2576,-10.3675,1.66328,1.52932,1.24871,0.753787,1.12132,2.24567,0.717057,0.185948
Taseko BC,9.04922,-6.53098,2.45304,1.63317,1.40793,1.13077,1.78504,2.58812,1.09576,0.267562
Taseko BC,6.3595,-6.60211,1.26552,1.0724,0.654616,0.625128,0.900023,1.45469,0.562492,0.175237
Taseko BC,6.8513,-4.74319,1.452,0.885911,1.10134,0.730657,0.907242,1.53284,0.839796,0.223807
Taseko BC,5.82252,-5.65757,1.40034,0.979031,0.785484,0.640453,0.79905,1.6515,0.753567,0.168554
Taseko BC,5.94087,-4.64476,1.15129,0.594168,0.663791,0.483274,0.559174,1.30351,0.51284,0.144928
Taseko BC,10.9918,-8.51962,1.27328,1.09313,0.840417,0.505627,0.650196,1.64303,0.774566,0.140548
Taseko BC,7.82319,-7.29714,1.58535,1.10848,0.943624,0.781124,0.693912,2.0688,0.831264,0.131365
Taseko BC,12.4868,-7.8509,1.03137,0.700782,0.644286,0.415099,0.559091,1.23373,0.615,0.102787
Taseko BC,13.9747,-7.05785,2.07603,1.41411,1.15778,0.620204,1.20684,2.22394,0.857226,0.130901
Taseko BC,7.06825,-4.45551,1.58948,1.13069,0.842586,0.82162,0.986708,1.91577,0.807899,0.153962
Taseko BC,13.2373,-9.88496,1.33866,0.946906,0.888144,0.546643,0.738987,1.72762,0.720897,0.143839
Taseko BC,4.89624,-2.70928,1.85656,1.23432,0.868584,0.591363,0.798278,2.34605,0.885684,0.219612
Taseko BC,15.9279,-13.9417,1.50323,1.02848,1.05538,0.650647,0.763495,1.69646,0.809633,0.161589
Taseko BC,14.5511,-21.6231,1.34695,0.771048,0.808089,0.544246,0.82042,1.45849,1.00311,0.130329
Taseko BC,0.795503,1.4321,1.41436,1.1409,0.823066,0.688474,1.00939,1.45073,0.899717,0.213137
Taseko BC,10.9216,-11.2378,1.50851,1.42318,1.15282,0.978781,0.968395,1.87377,0.892518,0.134057
Taseko BC,12.0849,-4.3554,2.92637,2.4404,1.33688,1.04068,1.80229,3.60037,1.47829,0.192279
Taseko BC,-1.91465,2.2877,1.34558,1.06902,0.645816,0.470124,0.692989,1.72407,0.632957,0.15309
Taseko BC,12.7387,-8.03332,1.17827,1.20343,0.700797,0.362918,0.695227,1.83505,0.627931,0.114814
Taseko BC,10.2573,-18.0435,2.58898,1.82747,1.80018,1.11801,1.60022,3.31467,1.45222,0.159891
